"brood_year","Mat2Lower","Mat2Mean","Mat2Upper","Mat3Lower","Mat3Mean","Mat3Upper","Mat4Lower","Mat4Mean","Mat4Upper","Source"
2001,0.0372406820755086,0.0602126796307822,0.0902344615005245,0.934048280511503,0.974572534260134,0.992595148839811,1,1,1,"Hatchery_CWT"
2002,0.0284129821391355,0.0345837094676352,0.0418269079306404,0.916069314271938,0.930806036721179,0.944924230291303,1,1,1,"Hatchery_CWT"
2003,0.0333628092411162,0.0401167114493235,0.0474423260553273,0.920197961720676,0.948732181147322,0.965836304546133,0.828374464670883,0.945699259938941,0.98707071246438,"Hatchery_CWT"
2004,0.00708580467599025,0.0231817452909765,0.0694712176418993,0.874946054797183,0.958774770937514,0.987164717881322,1,1,1,"Hatchery_CWT"
2005,0.00510284311507793,0.0100488033575621,0.0255505634081189,1,1,1,0,0,0,"Hatchery_CWT"
2006,0.0239138682471973,0.042170356596967,0.0682699326060685,0.883043740930748,0.920796924759555,0.947156652379636,0.68691966239232,0.886045302016365,0.959850768913802,"Hatchery_CWT"
2007,0,0,0,0.908011442260659,0.954389767462573,0.98010063860808,1,1,1,"Hatchery_CWT"
2008,0.0216360820942776,0.0643578125590269,0.18809883202229,0.493444083186285,0.73593394144438,0.890022443380737,0,0,0,"Hatchery_CWT"
2009,0.0162473549109129,0.0247944635934034,0.0354121678689654,1,1,1,0,0,0,"Hatchery_CWT"
2010,0.00201153589854112,0.00491017203763637,0.0140112526882649,0.864799821209708,0.908085489747284,0.941969829296285,1,1,1,"Hatchery_CWT"
2011,0.0488197340204501,0.0680910858756898,0.0914515981059156,0.974030437933512,0.99202912898645,0.997730855817682,1,1,1,"Hatchery_CWT"
2012,0.0798164768840815,0.0923768248780394,0.106913929700937,0.934954579663282,0.968611041037789,0.989245069551582,1,1,1,"Hatchery_CWT"
2013,0.0156584690498469,0.0300949874292292,0.0658592640271294,0.681426470434659,0.815785189554315,0.911416275401717,1,1,1,"Hatchery_CWT"
2014,0.253241804353314,0.303421689065678,0.356692796953295,0.97261357558485,0.98830025350329,0.995315756482935,1,1,1,"Hatchery_CWT"
2015,0.0762379058775571,0.0960993540507301,0.118677668261422,0.975151027640716,0.983288794513295,0.988793626056382,1,1,1,"Hatchery_CWT"
2016,0.0732975161415569,0.0831339250763634,0.0937165478290956,0.985290943253462,0.991983448319731,0.996043386229762,0,0,0,"Hatchery_CWT"
2017,0.174841107467818,0.240075885854641,0.306272841745002,0,0,0,0,0,0,"Hatchery_CWT"
