brood_year,Mat2Lower,Mat2Mean,Mat2Upper,Mat3Lower,Mat3Mean,Mat3Upper,Mat4Lower,Mat4Mean,Mat4Upper
2002,0,0,0,0.335786366,0.458817405,0.61583976,1,1,1
2003,0.209539068,0.250253813,0.292938491,0.789993078,0.832171545,0.867398367,1,1,1
2004,0.034733822,0.212310333,0.375000178,0.000365852,0.062190161,0.165207327,1,1,1
2005,0.06700427,0.11170288,0.164925501,0.307157132,0.446876176,0.585761922,1,1,1
2006,0.044161164,0.07883138,0.117690136,0.580647714,0.633838895,0.686731282,1,1,1
2007,0.005621832,0.098319885,0.211837826,0.030903561,0.265610679,0.457642294,1,1,1
2008,0.004793372,0.042525918,0.113624931,0.000135981,0.077016316,0.216269601,1,1,1
2009,0.012352237,0.028323996,0.049322473,0.320268406,0.447560002,0.609267103,1,1,1
2010,0.031565293,0.053871783,0.076938364,0.681573379,0.743988773,0.800556615,1,1,1
2011,0.000733223,0.081323536,0.190804621,0.576523643,0.789248801,0.998897311,1,1,1
2012,0.050375049,0.079330914,0.111677515,0.742258449,0.868581904,0.999213573,1,1,1
2013,5.96254E-06,0.042440197,0.106445388,0.669978884,0.750113534,0.802172307,1,1,1
2014,2.59927E-13,0.611189164,0.999970699,8.03507E-07,0.009136949,0.036449361,1,1,1
2015,0,0,0,1,1,1,1,1,1
