"run_year","Hatchery.Escapement","Hatchery_to_Hatchery","Natural_to_Hatchery","NaturalMales_to_Hatchery","NaturalFemales_to_Hatchery"
1998,99,NA,NA,NA,NA
1999,24,NA,NA,NA,NA
2000,89,NA,NA,NA,NA
2001,104,NA,NA,NA,NA
2002,104,3.10907689345371,100.890923106546,50.4454615532731,50.4454615532731
2003,85,7.21808603391528,77.7819139660847,38.8909569830424,38.8909569830424
2004,85,8.21375096827144,76.7862490317286,38.3931245158643,38.3931245158643
2005,109,3.12398878791596,105.876011212084,52.938005606042,52.938005606042
2006,93,3.04595091179504,89.954049088205,44.9770245441025,44.9770245441025
2007,54,10.1541884403678,43.8458115596322,21.9229057798161,21.9229057798161
2008,105,7.6374253167834,97.3625746832166,48.6812873416083,48.6812873416083
2009,121,6.23076840341983,114.76923159658,57.3846157982901,57.3846157982901
2010,63,0,63,31.5,31.5
2011,86,3.31934958413256,82.6806504158674,41.3403252079337,41.3403252079337
2012,93,2.20033861625287,90.7996613837471,45.3998306918736,45.3998306918736
2013,164,0,164,82,82
2014,388,242.223508499021,145.776491500979,72.8882457504896,72.8882457504896
2015,257,135.476019149806,121.523980850194,60.7619904250972,60.7619904250972
2016,137,110.339174299884,26.6608257001161,13.330412850058,13.330412850058
2017,180,163,17,8.5,8.5
2018,180,149,31,15.5,15.5
